ispb,compe,participates_in_compe,name
23862762,280,0,WILL FINANCEIRA S.A.CFI
76461557,281,1,CCR COOPAVEL
89960090,283,0,RB INVESTIMENTOS DTVM LTDA.
71677850,285,0,FRENTE CC S.A.
62237649,288,0,CAROL DTVM LTDA.
94968518,289,0,EFX CC LTDA.
08561701,290,0,PAGSEGURO INTERNET IP S.A.
28650236,292,0,BS2 DTVM S.A.
71590442,293,0,LASTRO RDV DTVM LTDA
04062902,296,0,OZ CORRETORA DE CÂMBIO S.A.
17772370,298,0,VIPS CC LTDA.
04814563,299,0,BCO AFINZ S.A. - BM
33042151,300,1,BCO LA NACION ARGENTINA
13370835,301,0,DOCK IP S.A.
40303299,306,0,PORTOPAR DTVM LTDA
03751794,307,0,TERRA INVESTIMENTOS DTVM
14190547,309,0,CAMBIONET CC LTDA
22610500,310,0,VORTX DTVM LTDA.
76641497,311,0,DOURADA CORRETORA
07693858,312,0,HSCM SCMEPP LTDA.
16927221,313,0,AMAZÔNIA CC LTDA.
61186680,318,1,BCO BMG S.A.
11495073,319,0,OM DTVM LTDA
07450604,320,1,BCO CCB BRASIL S.A.
18188384,321,0,CREFAZ SCMEPP LTDA
01073966,322,1,CCR DE ABELARDO LUZ
10573521,323,0,MERCADO PAGO IP LTDA.
21332862,324,0,CARTOS SCD S.A.
13293225,325,0,ÓRAMA DTVM S.A.
03311443,326,0,PARATI - CFI S.A.
05841967,328,0,CECM FABRIC CALÇADOS SAPIRANGA
32402502,329,0,QI SCD S.A.
00556603,330,0,BANCO BARI S.A.
13673855,331,0,FRAM CAPITAL DTVM S.A.
13140088,332,0,ACESSO SOLUÇÕES DE PAGAMENTO S.A. - INSTITUIÇÃO DE PAGAMENTO
15124464,334,0,BANCO BESA S.A.
27098060,335,0,BANCO DIGIO
31872495,336,0,BCO C6 S.A.
09554480,340,0,SUPERDIGITAL I.P. S.A.
60701190,341,1,ITAÚ UNIBANCO S.A.
32997490,342,0,CREDITAS SCD
24537861,343,0,FFA SCMEPP LTDA.
33264668,348,0,BCO XP S.A.
27214112,349,0,AL5 S.A. CFI
01330387,350,0,CREHNOR LARANJEIRAS
29162769,352,0,TORO CTVM S.A.
34335592,355,0,ÓTIMO SCD S.A.
09464032,358,0,MIDWAY S.A. - SCFI
05351887,359,0,ZEMA CFI S/A
02276653,360,0,TRINUS CAPITAL DTVM
01027058,362,0,CIELO IP S.A.
62285390,363,0,SINGULARE CTVM S.A.
09089356,364,0,EFÍ S.A. - IP
68757681,365,0,SIMPAUL
61533584,366,1,BCO SOCIETE GENERALE BRASIL
34711571,367,0,VITREO DTVM S.A.
08357240,368,0,BCO CSF S.A.
61088183,370,0,BCO MIZUHO S.A.
92875780,371,0,WARREN CVMC LTDA
35977097,373,0,UP.P SEP S.A.
27351731,374,0,REALIZE CFI S.A.
33172537,376,1,BCO J.P. MORGAN S.A.
17826860,377,0,BMS SCD S.A.
01852137,378,0,BCO BRASILEIRO DE CRÉDITO S.A.
01658426,379,0,CECM COOPERFORTE
22896431,380,0,PICPAY
60814191,381,0,BCO MERCEDES-BENZ S.A.
04307598,382,0,FIDUCIA SCMEPP LTDA
21018182,383,0,EBANX IP LTDA.
11165756,384,0,GLOBAL SCM LTDA
03844699,385,0,CECM DOS TRAB.PORT. DA G.VITOR
30680829,386,0,NU FINANCEIRA S.A. CFI
03215790,387,0,BCO TOYOTA DO BRASIL S.A.
17184037,389,1,BCO MERCANTIL DO BRASIL S.A.
59274605,390,0,BCO GM S.A.
08240446,391,0,CCR DE IBIAM
59109165,393,0,BCO VOLKSWAGEN S.A
07207996,394,1,BCO BRADESCO FINANC. S.A.
08673569,395,0,F D GOLD DTVM LTDA
13884775,396,0,HUB IP S.A.
34088029,397,0,LISTO SCD S.A.
31749596,398,0,IDEAL CTVM S.A.
01701201,399,0,KIRTON BANK
05491616,400,0,COOP CREDITAG
15111975,401,0,IUGU IP S.A.
36947229,402,0,COBUCCIO S.A. SCFI
37880206,403,0,CORA SCD S.A.
37241230,404,0,SUMUP SCD S.A.
37715993,406,0,ACCREDITO SCD S.A.
00329598,407,0,ÍNDIGO INVESTIMENTOS DTVM LTDA.
36586946,408,0,BONUSPAGO SCD S.A.
05684234,410,0,PLANNER SOCIEDADE DE CRÉDITO DIRETO
05192316,411,0,VIA CERTA FINANCIADORA S.A. - CFI
15173776,412,0,SOCIAL BANK S/A
01858774,413,0,BCO BV S.A.
37526080,414,0,LEND SCD S.A.
19324634,416,0,LAMARA SCD S.A.
37414009,418,0,ZIPDIN SCD S.A.
38129006,419,0,NUMBRS SCD S.A.
39343350,421,1,CC LAR CREDI
58160789,422,1,BCO SAFRA S.A.
00460065,423,0,COLUNA S.A. DTVM
03881423,425,0,SOCINAL S.A. CFI
11285104,426,0,NEON FINANCEIRA - CFI S.A.
27302181,427,0,CRED-UFES
39664698,428,0,CREDSYSTEM SCD S.A.
05676026,429,0,CREDIARE CFI S.A.
00204963,430,0,CCR SEARA
44077014,433,0,BR-CAPITAL DTVM S.A.
38224857,435,1,DELCRED SCD S.A.
67030395,438,0,TRUSTEE DTVM LTDA.
16695922,439,0,ID CTVM
82096447,440,0,CREDIBRF COOP
87963450,442,0,MAGNETIS - DTVM
39416705,443,0,CREDIHOME SCD
40654622,444,0,TRINUS SCD S.A.
35551187,445,0,PLANTAE CFI
12392983,447,0,MIRAE ASSET CCTVM LTDA
39669186,448,0,HEMERA DTVM LTDA.
37555231,449,0,DM
13203354,450,0,FITBANK IP
40475846,451,0,J17 - SCD S/A
39676772,452,0,CREDIFIT SCD S.A.
41592532,454,0,MÉRITO DTVM LTDA.
38429045,455,0,FÊNIX DTVM LTDA.
60498557,456,1,BCO MUFG BRASIL S.A.
39587424,457,0,UY3 SCD S/A
07253654,458,0,HEDGE INVESTMENTS DTVM LTDA.
04546162,459,0,CCM SERV. PÚBLICOS SP
42047025,460,0,UNAVANTI SCD S/A
19540550,461,0,ASAAS IP S.A.
39908427,462,0,STARK SCD S.A.
40434681,463,0,AZUMI DTVM
60518222,464,0,BCO SUMITOMO MITSUI BRASIL S.A.
40083667,465,0,CAPITAL CONSIG SCD S.A.
33886862,467,0,MASTER S/A CCTVM
04862600,468,0,PORTOSEG S.A. CFI
07138049,469,0,LIGA INVEST DTVM LTDA.
18394228,470,0,CDC SCD S.A.
04831810,471,0,CECM SERV PUBL PINHÃO
33466988,473,0,BCO CAIXA GERAL BRASIL S.A.
10371492,475,0,BCO YAMAHA MOTOR S.A.
33042953,477,1,CITIBANK N.A.
11760553,478,0,GAZINCRED S.A. SCFI
60394079,479,0,BCO ITAUBANK S.A.
43599047,481,0,SUPERLÓGICA SCD S.A.
42259084,482,0,SBCASH SCD
36864992,484,0,MAF DTVM SA
62331228,487,1,DEUTSCHE BANK S.A.BCO ALEMAO
46518205,488,0,JPMORGAN CHASE BANK
44189447,495,0,BCO LA PROVINCIA B AIRES BCE
