CODIGO;CATEGORIA;DESCRICAO;DIMENSAO;UNIDADE;MATERIAL;TIPO
RU1615;RU_INFRA_ESGOTO;TUBO COLETO DE ESGOTO CURRUGADO JE  350MM;1;MT;PVC;TUBO
RU1616;RU_INFRA_ESGOTO;TUBO COLETO DE ESGOTO CURRUGADO JE  400MM;1;MT;PVC;TUBO
RU1617;RU_INFRA_ESGOTO;CAP COLETOR DE ESGOTO JEI/JE 100MM;1;PC;PVC;-
RU1618;RU_INFRA_ESGOTO;CAP UNIVERSAL 150MM;1;PC;PVC;-
RU1619;RU_INFRA_ESGOTO;CAP UNIVERSAL 200MM;1;PC;PVC;-
RU1620;RU_INFRA_ESGOTO;CURVA 45 COLETOR DE ESGOTO JE 150MM;1;PC;PVC;-
RU1621;RU_INFRA_ESGOTO;CURVA 45 COLETOR DE ESGOTO JE 200MM;1;PC;PVC;-
RU1622;RU_INFRA_ESGOTO;CURVA 45 COLETOR DE ESGOTO JE 250MM;1;PC;PVC;-
RU1623;RU_INFRA_ESGOTO;CURVA 45 COLETOR DE ESGOTO JE 300MM;1;PC;PVC;-
RU1624;RU_INFRA_ESGOTO;CURVA UNIVERSAL 45 JE 150MM;1;PC;PVC;-
RU1625;RU_INFRA_ESGOTO;CURVA UNIVERSAL 45 JE 200MM;1;PC;PVC;-
RU1626;RU_INFRA_ESGOTO;CURVA 90 COLETOR DE ESGOTO 100MM;1;PC;PVC;-
RU1627;RU_INFRA_ESGOTO;CURVA 90 COLETOR DE ESGOTO 150MM;1;PC;PVC;-
RU1628;RU_INFRA_ESGOTO;CURVA 90 COLETOR DE ESGOTO 200MM;1;PC;PVC;-
RU1629;RU_INFRA_ESGOTO;CURVA 90 COLETOR DE ESGOTO 250MM;1;PC;PVC;-
RU1630;RU_INFRA_ESGOTO;CURVA 90 COLETOR DE ESGOTO 300MM;1;PC;PVC;-
RU1631;RU_INFRA_ESGOTO;JUNCAO 45 COLETOR DE ESGOTO 100X100MM;1;PC;PVC;-
RU1632;RU_INFRA_ESGOTO;JUNCAO 45 COLETOR DE ESGOTO 150MM;1;PC;PVC;-
RU1633;RU_INFRA_ESGOTO;JUNCAO 45 COLETOR DE ESGOTO 200MM;1;PC;PVC;-
RU1634;RU_INFRA_ESGOTO;LUVA COLETOR DE ESGOTO 100M;1;PC;PVC;-
RU1635;RU_INFRA_ESGOTO;LUVA COLETOR DE ESGOTO 150M;1;PC;PVC;-
RU1636;RU_INFRA_ESGOTO;LUVA COLETOR DE ESGOTO 200M;1;PC;PVC;-
RU1637;RU_INFRA_ESGOTO;LUVA COLETOR DE ESGOTO 250M;1;PC;PVC;-
RU1638;RU_INFRA_ESGOTO;LUVA COLETOR DE ESGOTO 300M;1;PC;PVC;-
RU1639;RU_INFRA_ESGOTO;LUVA COLETOR DE ESGOTO 400M;1;PC;PVC;-
RU1640;RU_INFRA_ESGOTO;PLUG COLETOR DE ESGOTO 100MM;1;PC;PVC;-
RU1641;RU_INFRA_ESGOTO;REDUCAO EXCENTRICA COLETOR DE ESGOTO 150X100MM;1;PC;PVC;-
RU1642;RU_INFRA_ESGOTO;REDUCAO EXCENTRICA COLETOR DE ESGOTO 200X150MM;1;PC;PVC;-
RU1643;RU_INFRA_ESGOTO;REDUCAO EXCENTRICA COLETOR DE ESGOTO 250X200MM;1;PC;PVC;-
RU1644;RU_INFRA_ESGOTO;TE COLETOR DE ESGOTO 100X100MM;1;PC;PVC;-
RU1645;RU_INFRA_ESGOTO;TE COLETOR DE ESGOTO 150X100MM;1;PC;PVC;-
RU1646;RU_INFRA_ESGOTO;TE COLETOR DE ESGOTO 150X150MM;1;PC;PVC;-
RU1647;RU_INFRA_ESGOTO;TE COLETOR DE ESGOTO 200X200MM;1;PC;PVC;-
RU1648;RU_INFRA_ESGOTO;TE REDUCAO COLETOR DE ESGOTO 200X150MM;1;PC;PVC;-
RU1649;RU_INFRA_ESGOTO;TE REDUCAO COLETOR DE ESGOTO 250X150MM;1;PC;PVC;-
RU1650;RU_INFRA_ESGOTO;TE REDUCAO COLETOR DE ESGOTO 250X200MM;1;PC;PVC;-
RU1651;RU_INFRA_ESGOTO;TE REDUCAO COLETOR DE ESGOTO 350X300MM;1;PC;PVC;-
RU1652;RU_AR;CAIXA POLAR;1;PC;PVC;-
RU1653;RU_BOMBAS;KIT BOMBA SUBMERSÍVEL 1,0/2,0 CV ;1;VB;-;-
RU1654;RU_ESGOTO;VALVULA DE ADMISSAO DE AR 50MM;1;PC;PVC;-
RU1655;RU_ESGOTO;CAIXA SIFONADA 100X100X40MM;1;PC;PVC;-
RU1656;RU_ESGOTO;CAIXA DE GORDURA DE 18L;1;PC;PVC;-
RU1657;RU_BOMBAS;KIT BOMBA DE RECALLQUE DE ÁGUA POTÁVEL 7,5CV P: 90 M.C.A;1;VB;-;-
RU1658;RU_ESGOTO;JOELHO 45 PVC SERIE NORMAL 150MM;1;PC;PVC;-
RU1659;RU_REGISTRO;"REGISTRO DE PRESSAO 15 (1/2"")";15;PC;METAIS;-
RU1660;RU_REGISTRO;"REGISTRO DE PRESSAO 20 (3/4"")";20;PC;METAIS;-
RU1661;RU_REGISTRO;"REGISTRO DE PRESSAO 25 (1"")";25;PC;METAIS;-
RU1662;RU_BOMBAS;KIT PRESSURIZADOR 4CV;1;VB;-;-
RU1663;RU_BOMBAS;KIT PRESSURIZADOR 2CV;1;VB;-;-
RU1664;RU_BOMBAS;KIT PRESSURIZADOR 1,5CV;1;VB;-;-
RU1665;RU_BOMBAS;KIT SISTEMA DE TRATAMENTO DE ÁGUA;1;VB;-;-
RU1666;RU_REGISTRO;"VALVULA SOLENOIDE 20 (3/4"")";1;PC;-;-
RU1667;RU_REGISTRO;"VALVULA SOLENOIDE 25 (1"")";1;PC;-;-
RU1668;RU_REGISTRO;"VALVULA SOLENOIDE 50 (2"")";1;PC;-;-
RU1669;RU_REGISTRO;"VALVULA SOLENOIDE 80 (3"")";1;PC;-;-
RU1670;RU_REGISTRO;KIT REDUTORA DE PRESSÃO LUMIUS;1;PC;-;-
RU1671;RU_CPVC;Registro Esfera CPVC 15MM;1;PC;CPVC;-
RU1672;RU_CPVC;Registro Esfera CPVC 22MM;1;PC;CPVC;-
RU1673;RU_CPVC;Registro Esfera CPVC 28MM;1;PC;CPVC;-
RU1674;RU_CPVC;Registro Esfera CPVC 35MM;1;PC;CPVC;-
RU1675;RU_CPVC;Registro Esfera CPVC 42MM;1;PC;CPVC;-
RU1676;RU_CPVC;Registro Esfera CPVC 54MM;1;PC;CPVC;-
RU1677;RU_CPVC;Registro Esfera CPVC 73MM;1;PC;CPVC;-
RU1678;RU_CPVC;Registro Esfera CPVC 89MM;1;PC;CPVC;-
RU1679;RU_CPVC;Registro Esfera CPVC 114MM;1;PC;CPVC;-
RU1680;RU_CPVC;Registro Gaveta CPVC 15MM;1;PC;CPVC;-
RU1681;RU_CPVC;Registro Gaveta CPVC 22MM;1;PC;CPVC;-
RU1682;RU_CPVC;Registro Gaveta CPVC 28MM;1;PC;CPVC;-
RU1683;RU_CPVC;Registro Gaveta CPVC 35MM;1;PC;CPVC;-
RU1684;RU_CPVC;Registro Gaveta CPVC 42MM;1;PC;CPVC;-
RU1685;RU_CPVC;Registro Gaveta CPVC 54MM;1;PC;CPVC;-
RU1686;RU_CPVC;Registro Gaveta CPVC 73MM;1;PC;CPVC;-
RU1687;RU_CPVC;Registro Gaveta CPVC 89MM;1;PC;CPVC;-
RU1688;RU_CPVC;Registro Gaveta CPVC 114MM;1;PC;CPVC;-
RU1692;RU_PISCINA;FILTRO DE AREIA V 20,50M3/H;1;PC;-;-
RU1693;RU_PISCINA;FILTRO DE AREIA V 9,50M3/H;1;PC;-;-
RU1694;RU_PISCINA;MOTOBOMBA V: 9,50 M3/H P: 3/4CV;1;PC;-;-
RU1695;RU_PISCINA;MOTOBOMBA V: 20,50 M3/H P: 2CV;1;PC;-;-
RU1696;RU_PISCINA;DOSADOR DE CLORO ;1;PC;-;-
RU1706;RU_SOLDAVEL;REGISTRO ESFERA 20MM;1;PC;-;-
RU1707;RU_SOLDAVEL;REGISTRO ESFERA 25MM;1;PC;-;-
RU1708;RU_SOLDAVEL;REGISTRO ESFERA 32MM;1;PC;-;-
RU1709;RU_SOLDAVEL;REGISTRO ESFERA 40MM;1;PC;-;-
RU1710;RU_SOLDAVEL;REGISTRO ESFERA 50MM;1;PC;-;-
RU1711;RU_SOLDAVEL;REGISTRO ESFERA 60MM;1;PC;-;-
RU1712;RU_SOLDAVEL;REGISTRO ESFERA 75MM;1;PC;-;-
RU1713;RU_SOLDAVEL;REGISTRO ESFERA 85MM;1;PC;-;-
RU1714;RU_SOLDAVEL;JOELHO 90 PVC SOLDAVEL 20MM;1;PC;-;-
RU1715;RU_SOLDAVEL;JOELHO 90 PVC SOLDAVEL 25MM;1;PC;-;-
RU1716;RU_SOLDAVEL;JOELHO 90 PVC SOLDAVEL 32MM;1;PC;-;-
RU1717;RU_SOLDAVEL;JOELHO 90 PVC SOLDAVEL 40MM;1;PC;-;-
RU1718;RU_SOLDAVEL;JOELHO 90 PVC SOLDAVEL 50MM;1;PC;-;-
RU1719;RU_SOLDAVEL;JOELHO 90 PVC SOLDAVEL 60MM;1;PC;-;-
RU1720;RU_REGISTRO;"TORNEIRA ESFERA 1/2"" ";1;PC;METAL;-
RU1721;RU_ESGOTO;GRELHA HEMISFERICA;1;PC;METAL;-
