CODIGO;CATEGORIA;DESCRICAO;DIMENSAO;UNIDADE;MATERIAL;TIPO
RU1431;RU_ESGOTO;TE PVC SERIE NORMAL 50X50;1;PC;PVC;-
RU1432;RU_ESGOTO;TE PVC SERIE NORMAL 75X50;1;PC;PVC;-
RU1433;RU_ESGOTO;TE PVC SERIE NORMAL 75X75;1;PC;PVC;-
RU1434;RU_ESGOTO;TE PVC SERIE NORMAL 100X50;1;PC;PVC;-
RU1435;RU_ESGOTO;TE PVC SERIE NORMAL 100X75;1;PC;PVC;-
RU1436;RU_ESGOTO;TE PVC SERIE NORMAL 100X100;1;PC;PVC;-
RU1437;RU_ESGOTO;TE PVC SERIE NORMAL 150X100;1;PC;PVC;-
RU1438;RU_ESGOTO;TE PVC SERIE NORMAL 150X150;1;PC;PVC;-
RU1439;RU_ESGOTO;TE PVC SERIE NORMAL 200X200;1;PC;PVC;-
RU1440;RU_ESGOTO;TERMINAL DE VENTILACAO 50;1;PC;PVC;-
RU1441;RU_ESGOTO;TERMINAL DE VENTILACAO 75;1;PC;PVC;-
RU1442;RU_ESGOTO;TERMINAL DE VENTILACAO 100;1;PC;PVC;-
RU1443;RU_SOLDAVEL;TUBO PVC SOLDAVEL 75MM;1;MT;PVC SOLDAVEL;TUBO
RU1444;RU_SOLDAVEL;TUBO PVC SOLDAVEL 85MM;1;MT;PVC SOLDAVEL;TUBO
RU1445;RU_SOLDAVEL;TUBO PVC SOLDAVEL 110MM;1;MT;PVC SOLDAVEL;TUBO
RU1446;RU_SOLDAVEL;JOELHO 90 PVC SOLDAVEL 75MM;1;PC;PVC SOLDAVEL;-
RU1447;RU_SOLDAVEL;JOELHO 90 PVC SOLDAVEL 85MM;1;PC;PVC SOLDAVEL;-
RU1448;RU_SOLDAVEL;JOELHO 90 PVC SOLDAVEL 110MM;1;PC;PVC SOLDAVEL;-
RU1449;RU_SOLDAVEL;JOELHO 45 PVC SOLDAVEL 75MM;1;PC;PVC SOLDAVEL;-
RU1450;RU_SOLDAVEL;JOELHO 45 PVC SOLDAVEL 85MM;1;PC;PVC SOLDAVEL;-
RU1451;RU_SOLDAVEL;JOELHO 45 PVC SOLDAVEL 110MM;1;PC;PVC SOLDAVEL;-
RU1452;RU_SOLDAVEL;TE PVC SOLDAVEL 75MM;1;PC;PVC SOLDAVEL;-
RU1453;RU_SOLDAVEL;TE PVC SOLDAVEL 85MM;1;PC;PVC SOLDAVEL;-
RU1454;RU_SOLDAVEL;TE PVC SOLDAVEL 110MM;1;PC;PVC SOLDAVEL;-
RU1455;RU_SOLDAVEL;TE REDUCAO PVC SOLDAVEL 75X60;1;PC;PVC SOLDAVEL;-
RU1456;RU_SOLDAVEL;TE REDUCAO PVC SOLDAVEL 75X50;1;PC;PVC SOLDAVEL;-
RU1457;RU_SOLDAVEL;TE REDUCAO PVC SOLDAVEL 85X60;1;PC;PVC SOLDAVEL;-
RU1458;RU_SOLDAVEL;TE REDUCAO PVC SOLDAVEL 110X60;1;PC;PVC SOLDAVEL;-
RU1459;RU_SOLDAVEL;TE REDUCAO PVC SOLDAVEL 110X75;1;PC;PVC SOLDAVEL;-
RU1460;RU_SOLDAVEL;LUVA PVC SOLDAVEL 75MM;1;PC;PVC SOLDAVEL;-
RU1461;RU_SOLDAVEL;LUVA PVC SOLDAVEL 85MM;1;PC;PVC SOLDAVEL;-
RU1462;RU_SOLDAVEL;LUVA PVC SOLDAVEL 110MM;1;PC;PVC SOLDAVEL;-
RU1463;RU_SISGAS;TE DE REDUCAO CENTRAL 25X20MM - SISGAS;1;PC;SISGAS;-
RU1464;RU_SISGAS;TE DE REDUCAO CENTRAL 32X20MM - SISGAS;1;PC;SISGAS;-
