;;APTO_AGUA_FRIA-QUENTE-GAS-PT1;;
RU1099;RU_SOLDAVEL;TUBO PVC SOLDAVEL 32MM;MT;76,11
RU1124;RU_SOLDAVEL;CURVA 90 PVC SOLDAVEL 32MM;PC;45
RU1249;RU_GAS;TUBO CAMISA DE 40MM - GAS;MT;69,01
RU1254;RU_REGISTRO;"REGISTRO GAVETA BRUTO 40 (1 1/2"")";PC;5
RU1270;RU_SISGAS;TUBO A�O POLIETILENO 32MM - SISGAS;MT;2,32
RU1302;RU_SISGAS;COTOVELO 90 32MM - SISGAS;PC;4
RU1311;RU_SISGAS;TE 32MM - SISGAS;PC;3
RU1335;RU_SISGAS;"ADAPTADOR MACHO 32 X 3/4"" - SISGAS";PC;4
RU1348;RU_SISGAS;VALVULA ESFERICA 32MM - SISGAS;PC;5
RU1350;RU_SISGAS;SUPORTE PARA MEDIDOR;PC;4
RU1351;RU_INCENDIO;KIT INCENDIO (ABRIGO, MANGUEIRA, CHAVE STORS, TAMP�O STORS, ADAPTADOR E BICO JATO);PC;1
RU1352;RU_INCENDIO;VALVULA PARA HIDRANTE 45 50MM;PC;1
RU1358;RU_ACO_GALVANIZADO;TUBOS DE ACO GALVANIZADO 50MM;MT;3
RU1368;RU_ACO_GALVANIZADO;TE DE ACO GALVANIZADO 50MM;PC;1
RU1388;RU_ACO_GALVANIZADO;LUVA DE ACO GALVANIZADO 50MM;PC;1
;;PISCINA_AF;;
RU1098;RU_SOLDAVEL;TUBO PVC SOLDAVEL 25MM;MT;17,24
RU1099;RU_SOLDAVEL;TUBO PVC SOLDAVEL 32MM;MT;30,63
RU1101;RU_SOLDAVEL;TUBO PVC SOLDAVEL 50MM;MT;192,24
RU1113;RU_SOLDAVEL;BUCHA DE REDUCAO PVC SOLDAVEL LONGA 75X50MM;PC;4
RU1126;RU_SOLDAVEL;CURVA 90 PVC SOLDAVEL 50MM;PC;31
RU1132;RU_SOLDAVEL;JOELHO 45 PVC SOLDAVEL 50MM;PC;1
RU1151;RU_SOLDAVEL;TE PVC SOLDAVEL 25MM;PC;1
RU1154;RU_SOLDAVEL;TE PVC SOLDAVEL 50MM;PC;15
RU1160;RU_CPVC;TUBO CPVC 42MM;MT;123,68
RU1162;RU_CPVC;TUBO CPVC 73MM;MT;96,88
RU1170;RU_CPVC;BUCHA DE REDUCAO CPVC 54X42MM;PC;5
RU1171;RU_CPVC;BUCHA DE REDUCAO CPVC 73X54MM;PC;3
RU1181;RU_CPVC;JOELHO 45 CPVC 42MM;PC;1
RU1190;RU_CPVC;JOELHO 90 CPVC 42MM;PC;55
RU1192;RU_CPVC;JOELHO 90 CPVC 73MM;PC;22
RU1224;RU_CPVC;TE CPVC 42MM;PC;7
RU1226;RU_CPVC;TE CPVC 73MM;PC;1
RU1239;RU_CPVC;TE 90 REDUCAO CPVC 73X54MM;PC;2
RU1396;RU_ESGOTO;TUBO PVC SERIE NORMAL 100MM;MT;2,06
RU1407;RU_ESGOTO;JOELHO 45 PVC SERIE NORMAL 100MM;PC;2
RU1411;RU_ESGOTO;JOELHO 90 PVC SERIE NORMAL 100MM;PC;1
RU1436;RU_ESGOTO;TE PVC SERIE NORMAL 100X100;PC;2
RU1443;RU_SOLDAVEL;TUBO PVC SOLDAVEL 75MM;MT;66,1
RU1446;RU_SOLDAVEL;JOELHO 90 PVC SOLDAVEL 75MM;PC;19
RU1452;RU_SOLDAVEL;TE PVC SOLDAVEL 75MM;PC;3
RU1456;RU_SOLDAVEL;TE REDUCAO PVC SOLDAVEL 75X50;PC;3
RU1675;RU_CPVC;Registro Esfera CPVC 42MM;PC;2
RU1677;RU_CPVC;Registro Esfera CPVC 73MM;PC;2
RU1684;RU_CPVC;Registro Gaveta CPVC 42MM;PC;2
RU1686;RU_CPVC;Registro Gaveta CPVC 73MM;PC;2
RU1694;RU_PISCINA;MOTOBOMBA V: 9,50 M3/H P: 3/4CV;PC;4
RU1695;RU_PISCINA;MOTOBOMBA V: 20,50 M3/H P: 2CV;PC;5
RU1696;RU_PISCINA;DOSADOR DE CLORO;PC;2
RU1707;RU_SOLDAVEL;REGISTRO ESFERA 25MM;PC;4
RU1708;RU_SOLDAVEL;REGISTRO ESFERA 32MM;PC;1
RU1710;RU_SOLDAVEL;REGISTRO ESFERA 50MM;PC;9
RU1712;RU_SOLDAVEL;REGISTRO ESFERA 75MM;PC;6
RU1715;RU_SOLDAVEL;JOELHO 90 PVC SOLDAVEL 25MM;PC;9
RU1716;RU_SOLDAVEL;JOELHO 90 PVC SOLDAVEL 32MM;PC;4
RU1718;RU_SOLDAVEL;JOELHO 90 PVC SOLDAVEL 50MM;PC;45
;;PRUMADA_AGUA_FRIA_QUENTE-GAS;;
RU1099;RU_SOLDAVEL;TUBO PVC SOLDAVEL 32MM;MT;2,69
RU1100;RU_SOLDAVEL;TUBO PVC SOLDAVEL 40MM;MT;27,52
RU1101;RU_SOLDAVEL;TUBO PVC SOLDAVEL 50MM;MT;17,27
RU1124;RU_SOLDAVEL;CURVA 90 PVC SOLDAVEL 32MM;PC;2
RU1125;RU_SOLDAVEL;CURVA 90 PVC SOLDAVEL 40MM;PC;2
RU1139;RU_SOLDAVEL;LUVA PVC SOLDAVEL 40MM;PC;2
RU1140;RU_SOLDAVEL;LUVA PVC SOLDAVEL 50MM;PC;3
RU1145;RU_SOLDAVEL;TE REDUCAO PVC SOLDAVEL 40X32X40MM;PC;8
RU1148;RU_SOLDAVEL;TE REDUCAO PVC SOLDAVEL 50X32X50MM;PC;6
RU1162;RU_CPVC;TUBO CPVC 73MM;MT;133,88
RU1239;RU_CPVC;TE 90 REDUCAO CPVC 73X54MM;PC;1
RU1272;RU_SISGAS;TUBO A�O POLIETILENO 50MM - SISGAS;MT;7,87
RU1273;RU_SISGAS;TUBO A�O POLIETILENO 63MM - SISGAS;MT;22,27
RU1274;RU_SISGAS;TUBO A�O POLIETILENO 75MM - SISGAS;MT;31,09
RU1443;RU_SOLDAVEL;TUBO PVC SOLDAVEL 75MM;MT;17,26
RU1460;RU_SOLDAVEL;LUVA PVC SOLDAVEL 75MM;PC;6
RU1468;RU_SISGAS;TE DE REDUCAO CENTRAL 50X32MM - SISGAS;PC;3
RU1471;RU_SISGAS;TE DE REDUCAO CENTRAL 63X50MM - SISGAS;PC;6
RU1472;RU_SISGAS;TE DE REDUCAO CENTRAL 75X50MM - SISGAS;PC;8
