Grupo; Descrição; Fabricante; Unid.; Quant.; Dimensões; Chave; Cod.fabrica
Tubos ;  ;  ;  ;  ;  ;  ; 
 ; TE PVC SERIE REFOCADA 75MM; ; PC; 2.00; 1; RU1544; RU1544
 ; TE PVC SERIE REFOCADA 100MM; ; PC; 6.00; 1; RU1545; RU1545
 ; CAIXA SIFONADA 100X100X50MM; ; PC; 1.00; 1; RU1554; RU1554
 ; CAIXA SIFONADA 100X150X50MM; ; PC; 8.00; 1; RU1555; RU1555
 ; REDUCAO EXCENTRICA PVC SERIE NORMAL 75X50MM; ; PC; 1.00; 1; RU1561; RU1561
 ; REDUCAO EXCENTRICA PVC SERIE NORMAL 100X75MM; ; PC; 2.00; 1; RU1562; RU1562
 ; REDUCAO EXCENTRICA PVC SERIE NORMAL 150X100MM; ; PC; 2.00; 1; RU1563; RU1563
 ; REDUCAO EXCENTRICA PVC SERIE REFOCADA 75X50MM; ; PC; 4.00; 1; RU1565; RU1565
 ; REDUCAO EXCENTRICA PVC SERIE REFOCADA 100X75MM; ; PC; 5.00; 1; RU1566; RU1566
 ; REDUCAO EXCENTRICA PVC SERIE REFOCADA 150X100MM; ; PC; 13.00; 1; RU1567; RU1567
 ; CAIXA POLAR; ; PC; 1.00; 1; RU1652; RU1652
 ; VALVULA DE ADMISSAO DE AR 50MM; ; PC; 6.00; 1; RU1654; RU1654
 ; JOELHO 45 PVC SERIE NORMAL 150MM; ; PC; 30.00; 1; RU1658; RU1658
 ; REGISTRO DE PRESSAO 20 (3/4"); ; PC; 2.00; 20; RU1660; RU1660
 ; KIT PRESSURIZADOR 1,5CV; ; VB; 1.00; 1; RU1664; RU1664
 ; KIT SISTEMA DE TRATAMENTO DE ÁGUA; ; VB; 1.00; 1; RU1665; RU1665
 ; VALVULA SOLENOIDE 50 (2"); ; PC; 3.00; 1; RU1668; RU1668
 ; KIT REDUTORA DE PRESSÃO LUMIUS; ; PC; 1.00; 1; RU1670; RU1670
