Grupo; Descrição; Fabricante; Unid.; Quant.; Dimensões; Chave; Cod.fabrica
Tubos ;  ;  ;  ;  ;  ;  ; 
 ; MANIFOLD 2 SAIDA B 1X3/4 - PEX; ; PC; 2.00; 1X3/4; RU1005; RU1005
 ; MANIFOLD 3 SAIDA B 1X3/4 - PEX; ; PC; 1.00; 1X3/4; RU1006; RU1006
 ; TE REDUCAO ANEL DESLIZANTE 16X20X16 - PEX; ; PC; 2.00; 16X20X16; RU1008; RU1008
 ; TE REDUCAO ANEL DESLIZANTE 20X16X20 - PEX; ; PC; 3.00; 20X16X20; RU1009; RU1009
 ; TE REDUCAO ANEL DESLIZANTE 20X20X16 - PEX; ; PC; 4.00; 20X20X16; RU1010; RU1010
 ; TE REDUCAO ANEL DESLIZANTE 25X16X20 - PEX; ; PC; 2.00; 25X16X20; RU1011; RU1011
 ; TE REDUCAO ANEL DESLIZANTE 25X20X25 - PEX; ; PC; 2.00; 25X20X25; RU1013; RU1013
 ; LUVA DE REDUÇÃO ANEL DESLIZANTE 20X16 - PEX; ; PC; 1.00; 20X16; RU1015; RU1015
 ; CONEXAO MOVEL ANEL DESLIZANTE 16X1/2" - PEX; ; PC; 22.00; 16X3/4"; RU1024; RU1024
 ; JOELHO ROSCA MOVEL ANEL DESLIZANTE 16X1/2" - PEX; ; PC; 2.00; 16X1/2"; RU1029; RU1029
 ; JOELHO ROSCA MOVEL ANEL DESLIZANTE 20X3/4" - PEX; ; PC; 1.00; 20X3/4"; RU1030; RU1030
 ; ADAPTADOR FIXO MACHO 20X3/4" - GAS; ; PC; 1.00; 20X3/4"; RU1045; RU1045
 ; JOELHO 90 16MM - GAS; ; PC; 1.00; 16; RU1049; RU1049
 ; JOELHO 90 COM ROSCA 16X1/2" - GAS; ; PC; 2.00; 16X1/2"; RU1053; RU1053
 ; TE 90 16MM - GAS; ; PC; 1.00; 16; RU1072; RU1072
 ; TE DE REDUCAO 90 26X20X16MM - GAS; ; PC; 1.00; 26X20X16MM; RU1082; RU1082
 ; VALVULA ESFERA FEMEA/FEMEA 1/2"X1/2" - GAS; ; PC; 2.00; 1/2"X1/2"; RU1088; RU1088
 ; VALVULA ESFERA MACHO/FEMEA 3/4"X3/4" - GAS; ; PC; 1.00;  3/4"X3/4"; RU1092; RU1092
 ; JOELHO 90 CPVC 28MM; ; PC; 5.00; 28MM; RU1188; RU1188
 ; JOLHO 90 DE TRASICAO CPVC 28X1"; ; PC; 1.00; 28X1"; RU1198; RU1198
 ; LUVA DE TRASICAO CPVC 28X3/4"; ; PC; 1.00; 4"; RU1215; RU1215
 ; TE 16MM; ; PC; 12.00; 16; RU1245; RU1245
 ; TE 20MM; ; PC; 1.00; 20; RU1246; RU1246
